car_id,car_number,brand,car_province,chassis_number,car_model,car_cc,car_type,car_sit
000001,1111กท,none,none,none,none,none,none,none
000002,121234กท,none,none,none,none,none,none,none
000003,127800กท,none,none,none,none,none,none,none
000004,12789กท,none,none,none,none,none,none,none
000005,133042กท,none,none,none,none,none,none,none
000006,133043กท,none,none,none,none,none,none,none
000007,133044กท,none,none,none,none,none,none,none
000008,13328นศ,none,none,none,none,none,none,none
000009,139290กท,none,none,none,none,none,none,none
000010,146439กท,none,none,none,none,none,none,none
000011,147080กท,none,none,none,none,none,none,none
000012,147181กท,none,none,none,none,none,none,none
000013,149283กท,none,none,none,none,none,none,none
000014,158392กท,none,none,none,none,none,none,none
000015,1ก39861,none,none,none,none,none,none,none
000016,1กก3208กท,none,none,none,none,none,none,none
000017,1กก3631กท,none,none,none,none,none,none,none
000018,1กก576กท,none,none,none,none,none,none,none
000019,1กก7267กท,none,none,none,none,none,none,none
000020,1กข4088กท,none,none,none,none,none,none,none
000021,1กค1534กท,none,none,none,none,none,none,none
000022,1กค1645กท,none,none,none,none,none,none,none
000023,1กค4722กท,none,none,none,none,none,none,none
000024,1กค52821,none,none,none,none,none,none,none
000025,1กค6430กท,none,none,none,none,none,none,none
000026,1กค8277กท,none,none,none,none,none,none,none
000027,1กฆ1096กท,none,none,none,none,none,none,none
000028,1กฆ297กท,none,none,none,none,none,none,none
000029,1กฆ4680กท,none,none,none,none,none,none,none
000030,1กฆ9052กท,none,none,none,none,none,none,none
000031,1กง1861นฐ,none,none,none,none,none,none,none
000032,1กง4947กท,none,none,none,none,none,none,none
000033,1กง4974กท,none,none,none,none,none,none,none
000034,1กง5929กท,none,none,none,none,none,none,none
000035,1กง6925กท,none,none,none,none,none,none,none
000036,1กง7365กท,none,none,none,none,none,none,none
000037,1กง7403กท,none,none,none,none,none,none,none
000038,1กง7521,none,none,none,none,none,none,none
000039,1กง793กท,none,none,none,none,none,none,none
000040,1กง8593กท,none,none,none,none,none,none,none
000041,1กง8843กท,none,none,none,none,none,none,none
000042,1กง8847กท,none,none,none,none,none,none,none
000043,1กง9569กท,none,none,none,none,none,none,none
000044,1กจ3207กท,none,none,none,none,none,none,none
000045,1กจ5163กท,none,none,none,none,none,none,none
000046,1กจ5943กท,none,none,none,none,none,none,none
000047,1กจ6032พย,none,none,none,none,none,none,none
000048,1กฉ2178กท,none,none,none,none,none,none,none
000049,1กช3964กท,none,none,none,none,none,none,none
000050,1กช5153สค,none,none,none,none,none,none,none
000051,1กช5707กท,none,none,none,none,none,none,none
000052,1กช6877กท,none,none,none,none,none,none,none
000053,1กช7044กท,none,none,none,none,none,none,none
000054,1กช9415กท,none,none,none,none,none,none,none
000055,1กฌ3942กท,none,none,none,none,none,none,none
000056,1กฌ55041,none,none,none,none,none,none,none
000057,1กฌ5914กท,none,none,none,none,none,none,none
000058,1กฌ6668กท,none,none,none,none,none,none,none
000059,1กฌ7450กท,none,none,none,none,none,none,none
000060,1กฌ8163กท,none,none,none,none,none,none,none
000061,1กญ23241,none,none,none,none,none,none,none
000062,1กญ5016กท,none,none,none,none,none,none,none
000063,1กญ5757กท,none,none,none,none,none,none,none
000064,1กญ5758กท,none,none,none,none,none,none,none
000065,1กญ6563กท,none,none,none,none,none,none,none
000066,1กญ8468กท,none,none,none,none,none,none,none
000067,1กฎ2706กท,none,none,none,none,none,none,none
000068,1กฎ4586กท,none,none,none,none,none,none,none
000069,1กฐ3197กท,none,none,none,none,none,none,none
000070,1กฒ2370กท,none,none,none,none,none,none,none
000071,1กฒ4917กท,none,none,none,none,none,none,none
000072,1กฒ6753กท,none,none,none,none,none,none,none
000073,1กฒ7027กท,none,none,none,none,none,none,none
000074,1กณ3985กท,none,none,none,none,none,none,none
000075,1กณ4811กท,none,none,none,none,none,none,none
000076,1กณ69061,none,none,none,none,none,none,none
000077,1กณ9691กท,none,none,none,none,none,none,none
000078,1กด1015กท,none,none,none,none,none,none,none
000079,1กด5841กท,none,none,none,none,none,none,none
000080,1กด6445กท,none,none,none,none,none,none,none
000081,1กด6455กท,none,none,none,none,none,none,none
000082,1กด8003กท,none,none,none,none,none,none,none
000083,1กด9309กท,none,none,none,none,none,none,none
000084,1กต184กท,none,none,none,none,none,none,none
000085,1กต3065กท,none,none,none,none,none,none,none
000086,1กต3714กท,none,none,none,none,none,none,none
000087,1กต7796กท,none,none,none,none,none,none,none
000088,1กต9010กท,none,none,none,none,none,none,none
000089,1กถ5327กท,none,none,none,none,none,none,none
000090,1กถ7308กท,none,none,none,none,none,none,none
000091,1กถ7982กท,none,none,none,none,none,none,none
000092,1กถ9220กท,none,none,none,none,none,none,none
000093,1กท1651กท,none,none,none,none,none,none,none
000094,1กท1754กท,none,none,none,none,none,none,none
000095,1กท1788กท,none,none,none,none,none,none,none
000096,1กท4400กท,none,none,none,none,none,none,none
000097,1กท6394กท,none,none,none,none,none,none,none
000098,1กท6965กท,none,none,none,none,none,none,none
000099,1กท8158กท,none,none,none,none,none,none,none
000100,1กธ1014กท,none,none,none,none,none,none,none
000101,1กธ3856กท,none,none,none,none,none,none,none
000102,1กธ4182กท,none,none,none,none,none,none,none
000103,1กธ4993กท,none,none,none,none,none,none,none
000104,1กธ5109กท,none,none,none,none,none,none,none
000105,1กธ5972กท,none,none,none,none,none,none,none
000106,1กน1275กท,none,none,none,none,none,none,none
000107,1กน1457กท,none,none,none,none,none,none,none
000108,1กน495กท,none,none,none,none,none,none,none
000109,1กน6242กท,none,none,none,none,none,none,none
000110,1กบ1551กท,none,none,none,none,none,none,none
000111,1กบ5490กท,none,none,none,none,none,none,none
