id,car_id,car_number,province,brand,chassis_number,model,car_cc,car_type,sit,,,,,,,
,1,1111,กรุงเทพมหานคร,,,,,,,,,,,,,
,2,121234,กรุงเทพมหานคร,,,,,,,,,,,,,
,3,127800,กรุงเทพมหานคร,,,,,,,,,,,,,
,4,12789,กรุงเทพมหานคร,,,,,,,,,,,,,
,5,133042,กรุงเทพมหานคร,,,,,,,,,,,,,
,6,133043,กรุงเทพมหานคร,,,,,,,,,,,,,
,7,133044,กรุงเทพมหานคร,,,,,,,,,,,,,
,8,13328,นครศรีธรรมราช,,,,,,,,,,,,,
,9,139290,กรุงเทพมหานคร,,,,,,,,,,,,,
,10,146439,กรุงเทพมหานคร,,,,,,,,,,,,,
,11,147080,กรุงเทพมหานคร,,,,,,,,,,,,,
,12,147181,กรุงเทพมหานคร,,,,,,,,,,,,,
,13,149283,กรุงเทพมหานคร,,,,,,,,,,,,,
,14,158392,กรุงเทพมหานคร,,,,,,,,,,,,,
,15,1ก3986,กรุงเทพมหานคร,,,,,,,,,,,,,
,16,1กก3208,กรุงเทพมหานคร,,,,,,,,,,,,,
,17,1กก3631,กรุงเทพมหานคร,,,,,,,,,,,,,
,18,1กก576,กรุงเทพมหานคร,,,,,,,,,,,,,
,19,1กก7267,กรุงเทพมหานคร,,,,,,,,,,,,,
,20,1กข4088,กรุงเทพมหานคร,,,,,,,,,,,,,
,21,1กค1534,กรุงเทพมหานคร,,,,,,,,,,,,,
,22,1กค1645,กรุงเทพมหานคร,,,,,,,,,,,,,
,23,1กค4722,กรุงเทพมหานคร,,,,,,,,,,,,,
,24,1กค52821,กรุงเทพมหานคร,,,,,,,,,,,,,
,25,1กค6430,กรุงเทพมหานคร,,,,,,,,,,,,,
,26,1กค8277,กรุงเทพมหานคร,,,,,,,,,,,,,
,27,1กฆ1096,กรุงเทพมหานคร,,,,,,,,,,,,,
,28,1กฆ297,กรุงเทพมหานคร,,,,,,,,,,,,,
,29,1กฆ4680,กรุงเทพมหานคร,,,,,,,,,,,,,
,30,1กฆ9052,กรุงเทพมหานคร,,,,,,,,,,,,,
,31,1กง1861,นครปฐม,,,,,,,,,,,,,
,32,1กง4947,กรุงเทพมหานคร,,,,,,,,,,,,,
,33,1กง4974,กรุงเทพมหานคร,,,,,,,,,,,,,
,34,1กง5929,กรุงเทพมหานคร,,,,,,,,,,,,,
,35,1กง6925,กรุงเทพมหานคร,,,,,,,,,,,,,
,36,1กง7365,กรุงเทพมหานคร,,,,,,,,,,,,,
,37,1กง7403,กรุงเทพมหานคร,,,,,,,,,,,,,
,38,1กง7521,กรุงเทพมหานคร,,,,,,,,,,,,,
,39,1กง793,กรุงเทพมหานคร,,,,,,,,,,,,,
,40,1กง8593,กรุงเทพมหานคร,,,,,,,,,,,,,
,41,1กง8843,กรุงเทพมหานคร,,,,,,,,,,,,,
,42,1กง8847,กรุงเทพมหานคร,,,,,,,,,,,,,
,43,1กง9569,กรุงเทพมหานคร,,,,,,,,,,,,,
,44,1กจ3207,กรุงเทพมหานคร,,,,,,,,,,,,,
,45,1กจ5163,กรุงเทพมหานคร,,,,,,,,,,,,,
,46,1กจ5943,กรุงเทพมหานคร,,,,,,,,,,,,,
,47,1กจ6032,พะเยา,,,,,,,,,,,,,
,48,1กฉ2178,กรุงเทพมหานคร,,,,,,,,,,,,,
,49,1กช3964,กรุงเทพมหานคร,,,,,,,,,,,,,
,50,1กช5153,สมุทรสาคร,,,,,,,,,,,,,
,51,1กช5707,กรุงเทพมหานคร,,,,,,,,,,,,,
,52,1กช6877,กรุงเทพมหานคร,,,,,,,,,,,,,
,53,1กช7044,กรุงเทพมหานคร,,,,,,,,,,,,,
,54,1กช9415,กรุงเทพมหานคร,,,,,,,,,,,,,
,55,1กฌ3942,กรุงเทพมหานคร,,,,,,,,,,,,,
,56,1กฌ55041,กรุงเทพมหานคร,,,,,,,,,,,,,
,57,1กฌ5914,กรุงเทพมหานคร,,,,,,,,,,,,,
,58,1กฌ6668,กรุงเทพมหานคร,,,,,,,,,,,,,
,59,1กฌ7450,กรุงเทพมหานคร,,,,,,,,,,,,,
,60,1กฌ8163,กรุงเทพมหานคร,,,,,,,,,,,,,
,61,1กญ23241,กรุงเทพมหานคร,,,,,,,,,,,,,
,62,1กญ5016,กรุงเทพมหานคร,,,,,,,,,,,,,
,63,1กญ5757,กรุงเทพมหานคร,,,,,,,,,,,,,
,64,1กญ5758,กรุงเทพมหานคร,,,,,,,,,,,,,
,65,1กญ6563,กรุงเทพมหานคร,,,,,,,,,,,,,
,66,1กญ8468,กรุงเทพมหานคร,,,,,,,,,,,,,
,67,1กฎ2706,กรุงเทพมหานคร,,,,,,,,,,,,,
,68,1กฎ4586,กรุงเทพมหานคร,,,,,,,,,,,,,
,69,1กฐ3197,กรุงเทพมหานคร,,,,,,,,,,,,,
,70,1กฒ2370,กรุงเทพมหานคร,,,,,,,,,,,,,
,71,1กฒ4917,กรุงเทพมหานคร,,,,,,,,,,,,,
,72,1กฒ6753,กรุงเทพมหานคร,,,,,,,,,,,,,
,73,1กฒ7027,กรุงเทพมหานคร,,,,,,,,,,,,,
,74,1กณ3985,กรุงเทพมหานคร,,,,,,,,,,,,,
,75,1กณ4811,กรุงเทพมหานคร,,,,,,,,,,,,,
,76,1กณ69061,กรุงเทพมหานคร,,,,,,,,,,,,,
,77,1กณ9691,กรุงเทพมหานคร,,,,,,,,,,,,,
,78,1กด1015,กรุงเทพมหานคร,,,,,,,,,,,,,
,79,1กด5841,กรุงเทพมหานคร,,,,,,,,,,,,,
,80,1กด6445,กรุงเทพมหานคร,,,,,,,,,,,,,
,81,1กด6455,กรุงเทพมหานคร,,,,,,,,,,,,,
,82,1กด8003,กรุงเทพมหานคร,,,,,,,,,,,,,
,83,1กด9309,กรุงเทพมหานคร,,,,,,,,,,,,,
,84,1กต184,กรุงเทพมหานคร,,,,,,,,,,,,,
,85,1กต3065,กรุงเทพมหานคร,,,,,,,,,,,,,
,86,1กต3714,กรุงเทพมหานคร,,,,,,,,,,,,,
,87,1กต7796,กรุงเทพมหานคร,,,,,,,,,,,,,
,88,1กต9010,กรุงเทพมหานคร,,,,,,,,,,,,,
,89,1กถ5327,กรุงเทพมหานคร,,,,,,,,,,,,,
,90,1กถ7308,กรุงเทพมหานคร,,,,,,,,,,,,,
,91,1กถ7982,กรุงเทพมหานคร,,,,,,,,,,,,,
,92,1กถ9220,กรุงเทพมหานคร,,,,,,,,,,,,,
,93,1กท1651,กรุงเทพมหานคร,,,,,,,,,,,,,
,94,1กท1754,กรุงเทพมหานคร,,,,,,,,,,,,,
,95,1กท1788,กรุงเทพมหานคร,,,,,,,,,,,,,
,96,1กท4400,กรุงเทพมหานคร,,,,,,,,,,,,,
,97,1กท6394,กรุงเทพมหานคร,,,,,,,,,,,,,
,98,1กท6965,กรุงเทพมหานคร,,,,,,,,,,,,,
,99,1กท8158,กรุงเทพมหานคร,,,,,,,,,,,,,
,100,1กธ1014,กรุงเทพมหานคร,,,,,,,,,,,,,
,101,1กธ3856,กรุงเทพมหานคร,,,,,,,,,,,,,
,102,1กธ4182,กรุงเทพมหานคร,,,,,,,,,,,,,
,103,1กธ4993,กรุงเทพมหานคร,,,,,,,,,,,,,
,104,1กธ5109,กรุงเทพมหานคร,,,,,,,,,,,,,
,105,1กธ5972,กรุงเทพมหานคร,,,,,,,,,,,,,
,106,1กน1275,กรุงเทพมหานคร,,,,,,,,,,,,,
,107,1กน1457,กรุงเทพมหานคร,,,,,,,,,,,,,
,108,1กน495,กรุงเทพมหานคร,,,,,,,,,,,,,
,109,1กน6242,กรุงเทพมหานคร,,,,,,,,,,,,,
,110,1กบ1551,กรุงเทพมหานคร,,,,,,,,,,,,,
,111,1กบ5490,กรุงเทพมหานคร,,,,,,,,,,,,,
,112,1กบ8786,กรุงเทพมหานคร,,,,,,,,,,,,,
,113,1กบ9561,กรุงเทพมหานคร,,,,,,,,,,,,,
,114,1กผ1041,กรุงเทพมหานคร,,,,,,,,,,,,,
,115,1กผ5575,กรุงเทพมหานคร,,,,,,,,,,,,,
,116,1กผ5884,กรุงเทพมหานคร,,,,,,,,,,,,,
,117,1กผ7925,กรุงเทพมหานคร,,,,,,,,,,,,,
,118,1กผ8553,กรุงเทพมหานคร,,,,,,,,,,,,,
,119,1กพ3448,กรุงเทพมหานคร,,,,,,,,,,,,,
,120,1กพ7709,กรุงเทพมหานคร,,,,,,,,,,,,,
,121,1กพ9444,กรุงเทพมหานคร,,,,,,,,,,,,,
,122,1กภ1500,กรุงเทพมหานคร,,,,,,,,,,,,,
,123,1กภ2494,กรุงเทพมหานคร,,,,,,,,,,,,,
,124,1กภ3310,กรุงเทพมหานคร,,,,,,,,,,,,,
,125,1กภ4730,กรุงเทพมหานคร,,,,,,,,,,,,,
