agent_code ,doc_nbr,cus_id,company_order,package_id,car_id,post_date,id
709,84565320,3294,P ประกันภัย,1,5021,2/5/2018,
709,00002D-C2-15-229120,1148,P ประกันภัย,1,2148,12/4/2017,
73,18-36411861,363,P ประกันภัย,1,1992,13/7/2015,
709,NVMI0000013968,3294,P ประกันภัย,1,5207,1/5/2016,
1,NVMI0000141637,1390,P ประกันภัย,1,1726,4/1/2016,
1,82355559,4130,P ประกันภัย,2,423,14/12/2015,
5,00002D-2G-17-000847,1745,P ประกันภัย,2,3340,25/8/2015,
700,00002D-2N-15-007178,3667,P ประกันภัย,2,2516,9/1/2016,
697,00002D-C2-15-214726,25,P ประกันภัย,2,2335,4/10/2018,
697,00002D-C2-15-242703,4282,P ประกันภัย,2,1576,30/6/2015,
32,00002D-KI-17-000761,3773,P ประกันภัย,2,3451,5/6/2016,
155,M5175821-16NBK,822,P ประกันภัย,2,2309,20/5/2015,
120,8235552,2476,P ประกันภัย,3,2759,4/9/2015,
642,28308432,1684,P ประกันภัย,3,2277,10/12/2015,
642,82355588,1684,P ประกันภัย,3,2294,2/2/2016,
711,84565326,2279,P ประกันภัย,3,957,20/1/2018,
31,00002D-2N-15-008374,2427,P ประกันภัย,3,1367,21/2/2017,
2,00002D-2N-16-000680,3049,P ประกันภัย,3,1855,25/1/2016,
31,00002D-2N-16-006573,2427,P ประกันภัย,3,1581,25/8/2016,
1,00002D-C2-15-132216,4013,P ประกันภัย,3,2638,23/6/2015,
232,00002D-C2-15-229479,4363,P ประกันภัย,3,2448,2/10/2018,
31,00002D-C2-15-238536,2427,P ประกันภัย,3,1608,3/3/2016,
81,00002D-C2-15-239223,61,P ประกันภัย,3,1879,28/9/2016,
697,00002D-C2-15-243128,109,P ประกันภัย,3,2340,2/6/2017,
32,00002D-C2-15-243427,3773,P ประกันภัย,3,697,26/5/2016,
697,00002D-C2-15-244949,4028,P ประกันภัย,3,1880,28/9/2015,
657,00002D-C2-16-006397,1308,P ประกันภัย,3,1855,7/12/2015,
56,00002D-C2-17-022254,4013,P ประกันภัย,3,1799,11/8/2016,
56,00002D-C2-17-074969,4013,P ประกันภัย,3,1913,2/1/2018,
2,00002D-V3-15-023310,2241,P ประกันภัย,3,5106,2/9/2017,
657,00002D-V3-16-001200,1308,P ประกันภัย,3,1799,30/7/2016,
1,00002D-V3-16-007158,3773,P ประกันภัย,3,462,22/1/2015,
120,2273890715NBK,2476,P ประกันภัย,3,3219,13/7/2016,
1,DF-70-59/005056,2476,P ประกันภัย,3,2751,10/10/2015,
1,DF-70-60/005222,2476,P ประกันภัย,3,2759,28/1/2016,
1,DF-72-59/006697,2476,P ประกันภัย,3,2691,7/7/2016,
711,NVMI00000144954,2279,P ประกันภัย,3,1328,23/3/2015,
167,82355573,589,P ประกันภัย,4,100,1/6/2017,
677,82355579,815,P ประกันภัย,4,1413,1/5/2017,
35,82355597,3909,P ประกันภัย,4,4972,3/11/2016,
1,84565315,985,P ประกันภัย,4,2330,11/12/2017,
35,84565340,727,P ประกันภัย,4,4551,15/8/2017,
35,84565347,3909,P ประกันภัย,4,4989,6/12/2018,
35,86266648,727,P ประกันภัย,4,4584,6/2/2015,
149,00002D-2G-17-000033,3142,P ประกันภัย,4,889,3/9/2017,
153,00002D-2G-17-005094,486,P ประกันภัย,4,417,9/7/2015,
167,00002D-2N-15-003650,2019,P ประกันภัย,4,2370,23/4/2015,
2,00002D-2N-15-007732,4201,P ประกันภัย,4,4406,9/1/2016,
31,00002D-2N-16-000353,367,P ประกันภัย,4,2052,30/11/2015,
150,00002D-3N-15-001603,2097,P ประกันภัย,4,2721,10/4/2016,
25,00002D-C2-15-013890,1059,P ประกันภัย,4,2052,27/5/2016,
697,00002D-C2-15-029264,3644,P ประกันภัย,4,1391,12/4/2015,
153,00002D-C2-15-036613,1349,P ประกันภัย,4,2382,18/7/2018,
153,00002D-C2-15-036864,2751,P ประกันภัย,4,1728,1/4/2017,
709,00002D-C2-15-041430,3403,P ประกันภัย,4,5166,21/11/2016,
697,00002D-C2-15-091674,1395,P ประกันภัย,4,2721,20/10/2016,
176,00002D-C2-15-139413,2122,P ประกันภัย,4,1701,10/3/2015,
31,00002D-C2-15-191578,367,P ประกันภัย,4,2063,20/4/2017,
709,00002D-C2-15-240799,3116,P ประกันภัย,4,2744,6/6/2017,
2,00002D-C2-15-245521,2241,P ประกันภัย,4,66,17/5/2016,
703,00002D-C2-16-005092,267,P ประกันภัย,4,1453,22/12/2015,
153,00002D-C2-16-010298,1349,P ประกันภัย,4,2441,3/6/2016,
167,00002D-C2-16-011813,2751,P ประกันภัย,4,1735,28/4/2017,
2,00002D-C2-16-016079,697,P ประกันภัย,4,1674,19/3/2016,
697,00002D-C2-16-022157,2904,P ประกันภัย,4,2673,29/6/2015,
31,00002D-C2-16-053601,367,P ประกันภัย,4,2148,27/5/2015,
337,00002D-C2-16-116258,3014,P ประกันภัย,4,4895,26/2/2015,
153,00002D-C2-17-002172,1349,P ประกันภัย,4,2444,20/5/2017,
64,00002D-C2-17-008206,2843,P ประกันภัย,4,3000,20/6/2016,
703,00002D-C2-17-011169,267,P ประกันภัย,4,1518,10/8/2016,
167,00002D-C2-17-016039,2751,P ประกันภัย,4,1796,4/9/2016,
722,00002D-C2-17-070820,2926,P ประกันภัย,4,4502,14/7/2015,
2,00002D-C2-17-119956,194,P ประกันภัย,4,4667,19/3/2015,
153,00002D-C2-17-153284,486,P ประกันภัย,4,705,23/4/2016,
153,00002D-C2-18-012389,1349,P ประกันภัย,4,2453,8/3/2015,
167,00002D-C2-18-013566,2751,P ประกันภัย,4,1919,31/8/2015,
64,00002D-C2-18-015498,2843,P ประกันภัย,4,3318,24/5/2016,
2,00002D-V3-16-003031,697,P ประกันภัย,4,1671,14/3/2017,
31,00002D-V3-16-024223,3156,P ประกันภัย,4,2754,23/2/2015,
64,00002D-V3-17-001453,2843,P ประกันภัย,4,2770,2/3/2015,
64,00002D-V3-17-001562,2843,P ประกันภัย,4,2760,26/7/2018,
64,00002D-V3-18-002345,2843,P ประกันภัย,4,2770,10/4/2016,
153,00002D-VD-15-000019,1349,P ประกันภัย,4,2473,23/6/2015,
153,00002D-VD-17-000002,1349,P ประกันภัย,4,2537,25/7/2016,
709,000-AC0215-056796,3402,P ประกันภัย,4,5133,5/2/2016,
35,007-A10017-000051,3909,P ประกันภัย,4,5046,11/4/2015,
89,105113M0/5806/00005,1179,P ประกันภัย,4,4634,3/12/2016,
97,16-80312220,46,P ประกันภัย,4,4844,30/4/2016,
1,17-36410984,986,P ประกันภัย,4,2357,19/8/2015,
35,20948182-16RBK,3909,P ประกันภัย,4,5124,6/6/2017,
167,22747951-15NBK,589,P ประกันภัย,4,416,17/6/2015,
677,22748391-15NBK,815,P ประกันภัย,4,1451,6/6/2015,
2,22765337-16NBK,1488,P ประกันภัย,4,1969,12/4/2017,
121,310000114-15N10</POLICY_NBR,486,P ประกันภัย,4,418,17/11/2016,
121,310000117-15N10</POLICY_NBR,486,P ประกันภัย,4,426,1/5/2016,
204,31072011-15N10-G1,4432,P ประกันภัย,4,974,16/9/2016,
121,320000629-15N10,486,P ประกันภัย,4,678,4/2/2015,
7,38621SB0/5904/00002,3088,P ประกันภัย,4,3502,28/4/2018,
7,38621SB0/5904/00017,2111,P ประกันภัย,4,85,2/4/2017,
1,86266631-17NBK,986,P ประกันภัย,4,2370,5/8/2018,
