package_id,package_name,company_name,package_cc,package_type,package_price,detail,,,,,,,,id
INT001,2EN10-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 7,500 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT002,2EN20-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT003,2EN30-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 9,000 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT004,2PN10-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 6,900 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT005,2PN20-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,000 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT006,2PN30-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT007,3EMN50-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 5,500(ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน2,000 CC (ไม่มี Deduct ทุน 50,000)",,,,,,,,
INT008,3EN10-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT009,3EN20-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT010,3EN30-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 8,000 (ชดเชยค่าเดินทาง)รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT011,3KP100N-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 กันภัย,0,"อินทร 3 กันภัย รถยนต์เก๋งไม่เกิน 2,000 CC ไม่มีDeduct (ทุน 100,000 บ.)",,,,,,,,
INT012,3MN50-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 4,900 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 50,000)",,,,,,,,
INT013,3PN10-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 6,500 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT014,3PN20-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT015,3PN30-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 รถยนต์เก๋งไม่เกิน 2,000 CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT016,3V06N-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,ป.3 Special,0,"Special 1 ไม่เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT017,3V10N-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,ป.3 Special,0,"Special 2 ไม่เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT018,3V20N-110-A,อินทรประกันภัย,เก๋งไม่เกิน 2000 cc,ป.3 Special,0,"Special 3 ไม่เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT019,2EN10-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 7,500 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT020,2EN20-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT021,2EN30-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 9,000 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT022,2PN10-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 6,900 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 100,000)",,,,,,,,
INT023,2PN20-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,000 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 200,000)",,,,,,,,
INT024,2PN30-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 300,000)",,,,,,,,
INT025,3EMN50-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 5,500(ชดเชยค่าเดินทาง)รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deduct ทุน 50,000)",,,,,,,,
INT026,3EN10-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT027,3EN20-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT028,3EN30-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 8,000 (ชดเชยค่าเดินทาง) รถยนต์เก๋งเกิน 2,000CC (ไม่มี Deduct ทุน 300,000)",,,,,,,,
INT029,3KP100N-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 กันภัย,0,"อินทร 3 กันภัย รถยนต์เก๋งเกิน 2,000 CC ไม่มีDeduct (ทุน 100,000 บ.)",,,,,,,,
INT030,3MN50-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus Mini เบี้ย 4,900 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deduct ทุน 50,000)",,,,,,,,
INT031,3PN10-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 6,500 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 100,000)",,,,,,,,
INT032,3PN20-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,000 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 200,000)",,,,,,,,
INT033,3PN30-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,อินทร 3 Plus,0,"3 Plus เบี้ย 7,500 รถยนต์เก๋งเกิน 2,000 CC (ไม่มี Deductทุน 300,000)",,,,,,,,
INT034,3V06N-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,ป.3 Special,0,"Special 1 เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT035,3V10N-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,ป.3 Special,0,"Special 2 เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT036,3V20N-110-B,อินทรประกันภัย,เก๋งเกิน 2000 cc,ป.3 Special,0,"Special 3 เกิน 2,000CC.รถยนต์นั่งส่วนบุคคล",,,,,,,,
INT037,2EN10-210,อินทรประกันภัย,รถตู้,อินทร 2 Plus,0,"2 Plus เบี้ย 7,500 (ชดเชยค่าเดินทาง)รถยนต์นั่งโดยสารส่วนบุคคล (ไม่มี Deduct ทุน 100,000)",,,,,,,,
INT038,2EN20-210,อินทรประกันภัย,รถตู้,อินทร 2 Plus,0,"2 Plus เบี้ย 8,500 (ชดเชยค่าเดินทาง)รถยนต์นั่งโดยสารส่วนบุคคล (ไม่มี Deduct ทุน 200,000)",,,,,,,,
INT039,2EN30-210,อินทรประกันภัย,รถตู้,อินทร 2 Plus,0,"2 Plus เบี้ย 9,000 (ชดเชยค่าเดินทาง)รถยนต์นั่งโดยสารส่วนบุคคล (ไม่มี Deduct ทุน 300,000)",,,,,,,,
